n_cores,time
1,31.069693
1,30.324215
1,30.572321
1,30.683278
1,30.561782
1,30.414467
1,30.790311
1,30.372407
1,30.550876
1,30.389981
2,15.367782
2,15.365174
2,15.380582
2,15.374466
2,15.158610
2,15.218670
2,15.362877
2,15.377640
2,15.366386
2,15.266035
3,9.980103
3,9.954885
3,9.957491
3,9.982824
3,9.984240
3,9.975972
3,9.982184
3,9.983823
3,9.982089
3,9.955295
4,7.419572
4,7.420330
4,7.417977
4,7.419840
4,7.419920
4,7.419565
4,7.418203
4,7.417447
4,7.415536
4,7.419070
5,6.095671
5,6.099689
5,6.096156
5,6.095717
5,6.095886
5,6.101121
5,6.097525
5,6.097772
5,6.094767
5,6.100924
6,4.881751
6,4.881892
6,4.884313
6,4.881906
6,4.883372
6,4.882649
6,4.882026
6,4.881996
6,4.881681
6,4.881640
7,4.285397
7,4.285159
7,4.291131
7,4.277561
7,4.286346
7,4.291323
7,4.285493
7,4.282879
7,4.286778
7,4.288785
8,3.750816
8,3.749380
8,3.802114
8,3.797737
8,3.807477
8,3.751829
8,3.754335
8,3.756851
8,3.798226
8,3.803282
9,3.316467
9,3.322387
9,3.319967
9,3.319258
9,3.320486
9,3.317991
9,3.317156
9,3.318085
9,3.329350
9,3.314774
10,2.971156
10,2.968464
10,2.969034
10,2.969912
10,2.969617
10,2.967351
10,2.972956
10,2.969647
10,2.969576
10,2.965223
11,2.692947
11,2.693528
11,2.693518
11,2.695866
11,2.689889
11,2.694803
11,2.692665
11,2.693718
11,2.691877
11,2.690512
12,2.449641
12,2.449958
12,2.448968
12,2.449519
12,2.449338
12,2.449239
12,2.449724
12,2.448589
12,2.485442
12,2.449853
